GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fraud-detection,com.faud.frauddetection.repository.impl,FraudRuleRepositoryImpl,0,36,0,0,0,12,0,7,0,7
fraud-detection,com.faud.frauddetection.repository.impl,FraudDetectionResultRepositoryImpl,0,22,0,0,0,7,0,4,0,4
fraud-detection,com.faud.frauddetection.service.evaluator,FrequencyEvaluator,0,244,1,19,0,52,1,14,0,5
fraud-detection,com.faud.frauddetection.service.evaluator,AmountEvaluator,0,284,1,21,0,63,1,16,0,6
fraud-detection,com.faud.frauddetection.service.evaluator,DynamicEvaluator,56,484,13,52,12,91,13,37,0,11
fraud-detection,com.faud.frauddetection.service.evaluator,MultiConditionEvaluator.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
fraud-detection,com.faud.frauddetection.service.evaluator,FrequencyEvaluator.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
fraud-detection,com.faud.frauddetection.service.evaluator,AmountEvaluator.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
fraud-detection,com.faud.frauddetection.service.evaluator,MultiConditionEvaluator,104,470,34,72,18,101,31,42,1,13
fraud-detection,com.faud.frauddetection.security,ApiTokenAuthenticationFilter,0,134,1,11,0,35,1,10,0,5
fraud-detection,com.faud.frauddetection.security,JwtUtil,27,119,1,3,9,29,1,12,0,11
fraud-detection,com.faud.frauddetection.security,UserPrincipal,0,49,0,0,0,13,0,9,0,9
fraud-detection,com.faud.frauddetection.security,JwtAuthenticationFilter,0,102,1,11,0,27,1,9,0,4
fraud-detection,com.faud.frauddetection.internal.controller,InternalFraudAnalysisController,0,27,0,0,0,9,0,4,0,4
fraud-detection,com.faud.frauddetection.service.impl,FraudDetectionServiceImpl,94,222,3,13,23,59,6,14,3,9
fraud-detection,com.faud.frauddetection.service.impl,FraudDetectionResultServiceImpl,0,45,0,0,0,13,0,4,0,4
fraud-detection,com.faud.frauddetection.service.impl,FraudRuleServiceImpl,0,99,1,3,0,25,1,10,0,9
fraud-detection,com.faud.frauddetection,FraudDetectionApplication,5,3,0,0,2,1,1,1,1,1
fraud-detection,com.faud.frauddetection.controller,FraudRuleController,2,276,1,13,0,69,1,21,0,13
fraud-detection,com.faud.frauddetection.service,TransactionConsumer,25,19,0,0,7,6,1,2,1,2
